phrase_name,tag_CK,count_CK,modified_tag,modified_count
一不做二不休,VH11,1,i,6
一個鼻孔出氣,VH11,0,i,6
一元方程式,Nac,0,n,5
一分收獲,Nad,0,n,4
一分錢一分貨,VH11,0,i,6
一哄而散,VA11,5,v,5
一回生二回熟,VH11,0,i,6
一字,Dh,11,n,11
一年生植物,Nab,0,n,5
一愣,VH11,6,i,6
一日之計在於晨,VH11,0,i,7
一次方程式,Nac,0,n,5
一發不可收拾,VH11,21,i,21
一目了然,VH11,14,i,14
一竿子打翻一條船,VA4,0,v,8
一絕,Nad,7,n,7
一而再再而三,Dd,0,d,6
一舉手一投足,Nad,0,n,6
一語,Nad,5,n,5
一語成讖,VH11,1,i,4
一語驚醒夢中人,VA4,1,v,7
一起兒,Dh,0,n,3
丁壯,Nab,0,n,2
丁是丁卯是卯,VH11,0,i,6
丁男,Nab,0,n,2
七十二烈士,Nab,0,n,5
七弦琴,Nab,0,n,3
万,Neu,0,m,1
丈母娘,Nab,2,n,3
三七五減租,Nad,1,n,5
三人行必有我師,VH11,0,i,7
三十六計走為上策,VH11,0,i,8
三十年代,Ndaaa,0,n,4
三句不離本行,VH11,0,i,6
三商銀,Nca,22,ns,22
三善根,Naea,0,n,3
三國誌,Nab,0,n,3
三大洋,Nca,0,ns,3
三天打魚兩天曬網,VA4,0,v,8
三專,Ncb,6,n,6
三弦,Nab,11,n,11
三弦樂器,Nab,0,n,4
三弦琴,Nab,0,n,3
三極真空管,Nab,0,n,5
三民主義統一中國,VH11,0,i,8
三總,Nca,11,ns,11
三軍總醫院,Nca,0,ns,5
三輕,Ncb,2,n,2
上匾,Nab,0,n,2
上台,"Nv4, VA13","0, 104",v,106
上學校,VA13,3,v,3
上客,Nab,0,n,2
上年紀,VH11,0,i,3
上座,"Nac, VA4","1, 1","n, v","2, 2"
上弔,VA4,1,v,2
上意識,Nad,1,n,3
上文,Nab,8,n,8
上昇,"Nv4, VA11","0, 19",v,21
上智,Nab,1,n,2
上梁不正下梁歪,VH11,0,i,7
上海話,Nac,6,n,6
上等,Nad,11,n,11
下不了台,VH11,2,i,4
下乘,Nad,1,n,2
下台,"Nv4, VA13","0, 46",v,48
下唇,Nab,10,n,10
下座,Nce,0,n,2
下擺,Nab,2,n,2
下等,A,3,n,3
下詔,VE2,3,v,3
下頷,Nab,0,n,2
下麵,VA4,5,v,5
不一定,Dbaa,377,d,377
不作第二人想,VH11,0,i,6
不佳,VH11,158,i,158
不全,VH11,15,i,15
不准,"Dbab, VE12","66, 52",v,118
不分皂白,VH11,1,i,4
不分青紅皂白,VH11,0,i,6
不只,Daa,262,d,262
不可以,Dbab,135,v,135
不可以道里計,VH11,0,i,6
不可測知,VH11,0,i,4
不可能,Dbaa,524,d,524
不和,VH11,20,i,20
不多久,Dd,5,d,5
不幸中之大幸,VH11,0,i,6
不忘,VK1,52,v,52
不應該,Dbab,0,v,3
不成文規定,Nac,0,n,5
不才,VH11,2,i,2
不按牌理出牌,VA4,0,v,6
不敷,VK2,38,v,38
不日,Dd,1,d,2
不比,VJ2,9,v,9
不渝,VH11,9,i,9
不無可疑之處,VH11,0,i,6
不知好人心,VH11,0,i,5
不知覺,VK1,2,v,3
不結盟國家,Nac,0,n,5
不經一事不長一智,VH11,0,i,8
不能夠,Dbab,66,v,66
不自主,Dh,0,n,3
不自覺,VK1,51,v,51
不見了,VH11,78,i,78
不記名投票,Nad,0,n,5
不識抬舉,VH11,1,i,4
不貳,b,0,zg,2
不貳過,VH11,2,i,3
不足為外人道也,VH11,0,i,7
不需,Dbab,90,v,90
丑,b,0,zg,1
且看,VE2,5,v,5
丕業,Nad,0,n,2
丕變,VH11,12,i,12
丕顯,VC2,0,v,2
世界新聞專科學校,Nca,0,ns,8
世界貿易大樓,Nab,0,n,6
丘陵地,Nab,6,n,6
並出,VH11,0,i,2
中台醫專,Nca,0,ns,4
中國人,Nab,868,n,868
中國商業銀行,Nca,0,ns,6
中國城,Ncb,29,n,29
中國字,Nac,13,n,13
中國工商,Nca,0,ns,4
中國工商專科學校,Nca,0,ns,8
中國年,Nad,1,n,3
中國廣播公司,Nca,0,ns,6
中國文化大學,Nca,0,ns,6
中國文化學院,Nca,0,ns,6
中國文學,Nad,0,n,4
中國文藝學會,Ncb,0,n,6
中國海事專科學校,Nca,0,ns,8
中國石油公司,Nca,0,ns,6
中國菜,Nab,0,n,3
中國話,Nac,41,n,41
中國農民銀行,Nca,0,ns,6
中國醫藥學院,Nca,0,ns,6
中國電視公司,Nca,0,ns,6
中國青年反共救國團,Nca,0,ns,9
中央信託局,Nca,0,ns,5
中央圖書館,Nca,0,ns,5
中央標準局,Nca,0,ns,5
中央處,Ncb,0,n,3
中央警官學校,Nca,0,ns,6
中央通訊社,Nca,0,ns,5
中央面,Ncdb,0,f,3
中山區,Nca,5,ns,5
中心人物,Nab,0,n,4
中心體,Nab,0,n,3
中日甲午戰爭,Nba,0,nr,6
中正理工學院,Nca,0,ns,6
中正紀念堂,Nca,0,ns,5
中聽,VH11,2,i,2
中興法商學院,Nca,0,ns,6
中華工業專科學校,Nca,0,ns,8
中華經濟研究院,Nca,0,ns,7
中華開放醫院,Nca,0,ns,6
中華電視台,Nca,0,ns,5
中華電視臺,Nca,0,ns,5
中華革命黨,Nab,0,n,5
丰,b,0,zg,1
丱,b,0,zg,1
串繞電動機,Nab,0,n,5
丹忱,Nad,0,n,2
丹楓,Nab,0,n,2
丹詔,Nab,0,n,2
主和,VH11,1,i,2
主控台,Ncb,1,n,3
主机,Nab,0,n,2
主机板,Nab,0,n,3
主要性,Nad,0,n,3
久旱逢甘霖,VH11,0,i,5
久病成良醫,VH11,0,i,5
么兒,Nab,4,n,4
么喝,VA4,3,v,3
么爺,Nab,0,n,2
之交,Ng,6,f,6
之初,Ng,83,f,83
之多,VH11,21,i,21
之秋,Ng,5,f,5
乖舛,VH11,3,i,3
乖違,VH11,0,i,2
乘興而往敗興而歸,VA4,0,v,8
九三軍人節,Ndabd,0,t,5
九九乘法表,Nab,0,n,5
也似,Ng,6,f,6
乳娘,Nab,0,n,2
乳缽,Nab,0,n,2
乾娘,Nab,0,n,2
乾巴巴的,VH11,0,i,4
乾材,Nab,0,n,2
乾池,Nab,0,n,2
乾禮,Nab,0,n,2
乾等,VH11,0,i,2
乾躁,VH11,1,i,2
亂丟,VC32,21,v,21
了債,VA4,0,v,2
了然,VH21,5,i,5
了當,b,0,zg,2
了解,Nv2,1869,v,1869
了解到,VK1,62,v,62
事跡,Nac,19,n,19
二極,Naea,0,n,2
二極真空管,Nab,0,n,5
二氧化矽,Naa,1,n,4
二硫基丙醇,Naa,0,n,5
于,P23,47,nr,47
于是,Cbca,10,c,10
于歸,VA4,0,v,2
云,VE2,57,v,57
五台山,Nca,6,ns,6
五弦琴,Nab,0,n,3
五胡十六國,Naea,0,n,5
些兒,"Dfb, Nfd","0, 0","d, v","2, 2"
些少,A,0,n,2
亞東工業專科學校,Nca,0,ns,8
亞東關係協會,Nca,0,ns,6
亞歷山大帝國,Nca,0,ns,6
亞洲人,Nab,19,n,19
亞洲杯,A,0,n,3
亞犬,Nab,0,n,2
亞理斯多德,Nba,0,nr,5
亞當史密斯,Nba,0,nr,5
亞馬遜盆地,Nca,0,ns,5
交通大學,Nca,0,ns,4
交通處,Ncb,6,n,6
享受到,VJ1,47,v,47
京師人,Nab,0,n,3
京話,Nac,0,n,2
亭台,Nab,4,n,4
亭台樓閣,Naeb,3,n,4
人不可貌相,VH11,1,i,5
人不知鬼不覺,VH11,0,i,6
人中,Nab,0,n,2
人事行政局,Nca,0,ns,5
人人得而誅之,VH11,0,i,6
人像,Nab,17,n,17
人參,Nab,6,n,6
人君,Nab,1,n,2
人和,Nad,41,n,41
人工工資率差異,Nad,0,n,7
人工效率差異,Nad,0,n,6
人為刀俎我為魚肉,VH11,0,i,8
人為萬物之靈,VH11,0,i,6
人無千日好,VH11,0,i,5
人無遠慮必有近憂,VH11,0,i,8
人生七十才開始,VH11,0,i,7
人生如朝露,VH11,0,i,5
人稱代名詞,Nac,0,n,5
人算不如天算,VH11,0,i,6
人身保護法,Nac,0,n,5
人面桃花相映紅,VH11,0,i,7
仁宗,Nba,4,nr,4
仁愛為接物之本,VH11,0,i,7
仂,b,0,zg,1
仆,b,0,zg,1
介紹人,Nab,8,n,8
介紹出來,VB11,2,v,4
介繫詞,Nac,0,n,3
他們倆,Nhaa,19,r,19
他力,Nad,2,n,2
他動詞,Nac,0,n,3
他律性,Nad,0,n,3
他方,Nhaa,0,r,2
他物,Nab,1,n,2
他處,Ncb,14,n,14
他鄉,Nce,23,n,23
他項,Nfa,0,q,2
代表會,Nac,51,n,51
令姊,Nhac,0,n,2
令孫,Nhac,0,n,2
令正,Nhac,0,n,2
以備不時之需,VH11,0,i,6
以故,Cbca,0,c,2
以資,Dh,16,n,16
以降,Ng,17,f,17
仰事俯畜,VA4,0,v,4
仳離,VH11,3,i,3
价,b,0,zg,1
任便,VK2,1,v,2
份內,A,8,n,8
仿佛,"Dbaa, VG2","10, 5","d, v","10, 5"
仿傚,VC2,3,v,3
企業管理,Nad,0,n,4
企業管理系,Nad,0,n,5
伊底帕斯情結,Nad,0,n,6
伊比利半島,Nca,1,ns,5
伏下,VA11,0,v,2
伏屍,VA4,0,v,2
伏生,Nba,0,nr,2
伏襲,VC2,0,v,2
休戚,Nad,2,n,2
伕子,Nab,0,n,2
伙,Nfc,6,v,6
伙伴,Nab,50,n,50
伙計,Nab,14,n,14
伸出來,VB2,5,v,5
但書,Nab,7,n,7
但須,Dbab,4,v,4
佈,b,0,zg,1
佈哨,VA4,0,v,2
佈崗,VA4,0,v,2
佈達,VA4,0,v,2
佈達式,Nad,0,n,3
佌,VH11,0,i,1
位元,Nfg,83,q,83
低回,VH21,0,i,2
低地,Naa,5,n,5
低濕,VH11,1,i,2
低處,Ncdb,0,f,2
住下,VA12,3,v,3
住下來,VA12,6,v,6
佐籐,Nbc,0,nr,2
余,"Nbc, Nhaa","40, 24","nr, r","40, 24"
佛圖澄,Nba,0,nr,3
佛洛依德派,Nad,0,n,5
作多,"Nv4, VH11","0, 41","i, v","41, 2"
作姦犯科,VA4,2,v,4
你我,Naea,19,n,19
你等,Nhaa,0,r,2
佣,b,0,zg,1
佣人,Nab,23,n,23
併列,VH11,1,i,2
併排,VA12,1,v,2
併案,VA4,2,v,2
併科,VC31,3,v,3
佻巧,VH11,0,i,2
佻薄,VH11,0,i,2
佻達,VH11,0,i,2
佾生,Nab,1,n,2
佾舞,Nac,0,n,2
使出來,VB12,2,v,3
使出渾身解數,VA4,0,v,6
使用法,Nad,0,n,3
來去,VA11,25,v,25
來歸,VA11,6,v,6
來由,Nac,3,n,3
來者不善善者不來,VH11,0,i,8
來自於,VI3,52,v,52
來著,Tb,3,v,3
來處,Nad,5,n,5
侘,b,0,zg,1
依允,VE12,0,v,2
侯爺,Nab,0,n,2
侵占,VC31,13,v,13
侵占罪,Nac,2,n,3
便中,Ndc,0,t,2
便所,Ncb,1,n,2
便有,VJ3,21,v,21
便橋,Nab,0,n,2
便秘,VH11,16,i,16
便菜,Naa,2,n,2
係為,VG2,7,v,7
俄人,Nab,0,n,2
俄國共產黨,Nba,0,nr,5
俄羅斯共和國,Nca,0,ns,6
俄羅斯平原,Nca,0,ns,5
俄而,Dd,3,d,3
俊偉,VH11,0,i,2
俗艷,VH11,1,i,2
俛,b,0,zg,1
保母,Nab,78,n,78
保証,"Nac, VE2","4, 22","n, v","4, 22"
保証人,Nab,0,n,3
保証金,Naeb,0,n,3
保證人,Nab,5,n,5
保護人,Nab,2,n,3
保鑣,Nab,6,n,6
信從,Nab,0,n,2
信用合作社,Ncb,0,n,5
信義為立業之本,VH11,0,i,7
信號台,Ncb,0,n,3
修己,VA4,0,v,2
修橋舖路,VA4,1,v,4
俾使,VL4,9,v,9
倉廒,Nab,1,n,2
倉頡輸入法,Nba,0,nr,5
個把,Neqa,7,m,7
倒出來,VB2,2,v,3
倒去,VC31,0,v,2
倒反,VH11,0,i,2
倒是,Dbb,237,d,237
倒會,VB11,0,v,2
倒霉,VH11,11,i,11
借助,VC2,33,v,33
借口,Nac,2,n,2
借箸代籌,VA4,0,v,4
借鑒,Nac,0,n,2
倣古,VH11,0,i,2
倣效,VC2,4,v,4
倣真,VH11,0,i,2
倦游,VH21,0,i,2
假托,VJ1,0,v,2
偎乾就濕,VA4,0,v,4
做上,VC2,2,v,2
做下來,VA4,1,v,3
做假,VA4,5,v,5
做出來,VB2,34,v,34
做完,VC31,71,v,71
做得到,VB12,0,v,3
做聲,VA4,0,v,2
做錯,VC31,60,v,60
偷听,VC2,0,v,2
偷得浮生半日閒,VH11,1,i,7
偷著,Dh,2,n,2
傅園,Nca,0,ns,2
傖父,Nab,0,n,2
傢具,Nab,3,n,3
傭金,Naeb,3,n,3
傳布,VH14,3,v,3
傳播給,VD1,0,v,3
傳衣缽,VA4,0,v,3
債台高築,VH11,2,i,4
傷害到,VC2,24,v,24
傾听,VC2,0,v,2
僅有,VJ3,148,v,148
僊,b,0,zg,1
像似,"Dbaa, P48, VG2","1, 0, 2","d, v","4, 2"
像差,Nad,0,n,2
像話,VH11,2,i,2
僑務委員會,Nca,0,ns,5
僭號,Nad,0,n,2
僭越,VC2,0,v,2
僵尸,Nab,0,n,2
僵屍,Nab,1,n,2
僾,b,0,zg,1
儘,Dab,51,d,51
儘力,Dh,3,n,3
儘是,"V_11, V_12","0, 0",v,4
優哉游哉,VH11,0,i,4
儷人,Nab,0,n,2
儷影,Nab,5,n,5
儷辭,Nac,0,n,2
元任,Nba,0,nr,2
元兇,Nab,3,n,3
元嘉,Ndaac,0,nz,2
元培醫事技術學校,Nca,0,ns,8
元培醫專,Nca,0,ns,4
元帝,Nba,0,nr,2
元朔,Ndaac,0,nz,2
充饑,VA4,5,v,5
兇,"VC2, VH11","0, 58","i, v","58, 1"
兇嫌,Nab,2,n,2
兇宅,Ncb,0,n,2
兇悍,"Nv4, VH11","0, 5","i, v","5, 2"
兇惡,VH11,9,i,9
兇手,Nab,9,n,9
兇案,Nac,1,n,2
兇殘,VH11,1,i,2
兇殺,A,0,n,2
兇猛,VH11,11,i,11
先小人後君子,VH11,0,i,6
先達,Nab,0,n,2
光宗,b,0,zg,2
光武,Nba,2,nr,2
光燦,VH11,0,i,2
克制,VC2,27,v,27
克勤,VH11,0,i,2
克強,VH11,0,i,2
克里米亞戰爭,Nba,0,nr,6
兒孫自有兒孫福,VH11,0,i,7
兒童圖書館,Ncb,0,n,5
兒童心理學,Nad,0,n,5
兔唇,Nad,0,n,2
党,"Nac, Nbc","0, 0","n, nr","1, 1"
入學校,VA13,0,v,3
內姪,Nab,1,n,2
內政府,Ncb,0,n,3
內變,Nac,0,n,2
內轉,VH12,0,v,2
全乾,VH11,0,i,2
兩可,VH11,0,i,2
兩虎相鬥必有一傷,VH11,0,i,8
公侯伯子男,Naea,0,n,5
公保,Nad,31,n,31
公共汽車站,Ncb,1,n,5
公務員懲戒委員,Nab,0,n,7
公厘,Nfg,4,q,4
公布,Nv1,192,v,192
公布欄,Nab,5,n,5
公設辯護人,Nab,0,n,5
公車管理處,Ncb,0,n,5
六和,Naea,0,n,2
六欲,Naea,0,n,2
其他應計負債,Nad,0,n,6
其勢兇兇,VH11,0,i,4
典試委員會,Ncb,0,n,5
兼容並包,VH11,2,i,4
兼容並蓄,VH11,7,i,7
兼收並蓄,VB11,0,v,4
兼旬,Nad,0,n,2
兼籌並顧,VH11,0,i,4
再會,VH11,10,i,10
冗贅,VH11,0,i,2
冤有頭債有主,VH11,0,i,6
冤讎,Nad,0,n,2
冬季世界運動會,Nac,0,n,7
冰罅,Nac,0,n,2
冷泉,Naa,4,n,4
冷面,A,2,n,2
冽泉,Naa,0,n,2
准,"Dbab, VE12","0, 55",v,56
凌人,VH11,3,i,3
凌波,VH11,1,i,2
几,b,0,zg,1
凹版印刷,Nad,0,n,4
出入証,Nab,0,n,3
出口區,Ncb,11,n,11
出境証,Nab,0,n,3
出招,VA4,10,v,10
出版所,Ncb,0,n,3
刀鎗,Naeb,0,n,2
分別出,VE2,0,v,3
分割為,VG1,2,v,3
分布,Nv4,163,v,163
分析出來,VB12,2,v,4
分爨,VA4,0,v,2
分裂為,VG2,2,v,3
分解為,VG1,1,v,3
切麵,Naa,0,n,2
刊布,VC2,0,v,2
划,VC2,29,v,29
列氏寒暑表,Nab,0,n,5
別致,VH11,16,i,16
利他,VH11,11,i,11
刮去,VC31,0,v,2
刮起,VH14,0,v,2
刮風,VA3,4,n,4
到家,Dfb,4,d,4
到時,Dd,44,d,44
到臨,VA11,4,v,4
制定出來,VB2,1,v,4
制酸性,Nad,0,n,3
刻上,VC31,5,v,5
剋薄,VH11,0,i,2
前台,Nce,1,n,2
前腿,Nab,2,n,2
前言不對後語,VH11,1,i,6
剛毅木訥,VH11,0,i,4
剛纔,Dd,0,d,2
剩下來,VJ3,12,v,12
剪去,VC31,5,v,5
副主席,Nab,47,n,47
副座,Nab,0,n,2
副機,Nab,1,n,2
副理,Nab,40,n,40
副相,Nab,0,n,2
副總統,Nab,29,n,29
副院長,Nab,73,n,73
創造出,VC31,81,v,81
創造成,VG1,0,v,3
劃分為,VG1,19,v,19
劉向,Nba,1,nr,2
劍道,Nad,6,n,6
劍魚,Nab,0,n,2
力拔山兮氣蓋世,VH11,0,i,7
功勛,Nad,1,n,2
加勒比海群島,Nca,0,ns,6
加尼福尼亞,Nca,0,ns,5
加工出口區,Nab,0,n,5
加彭,Nca,1,ns,2
加農砲,Nab,0,n,3
助人為快樂之本,VH11,0,i,7
勇將,Nab,1,n,2
勍,b,0,zg,1
勒贖,VC31,11,v,11
動蕩,VH11,3,i,3
動蕩不安,VH11,0,i,4
勛勉,VC2,0,v,2
勛章,Nab,3,n,3
勝跡,Nac,0,n,2
勞動基準法,Nad,0,n,5
勞工保險局,Nca,0,ns,5
勢將,Dbaa,24,d,24
勤儉為服務之本,VH11,0,i,7
勤勉不倦,VH11,0,i,4
勤有功嬉無益,VH11,0,i,6
勦,b,0,zg,1
勷,b,0,zg,1
包准,VE2,0,v,2
匈牙利大平原,Nca,0,ns,6
匐匍,Dh,0,n,2
化妝台,Nab,1,n,3
化學公司,Ncb,0,n,4
北京人,Nab,10,n,10
北回歸線,Nca,1,ns,4
北宜,Nca,11,ns,11
北愛爾蘭省,Nca,0,ns,5
北援,VC2,0,v,2
北方人,Nab,7,n,7
北赤道洋流,Naa,0,n,5
匟,b,0,zg,1
匡復,VC31,0,v,2
匪人,Nab,0,n,2
匯報,Nab,2,n,2
匯集,"Nv1, VC33","0, 52",v,54
匿蹟,"Ncb, VH11","0, 0","i, n","2, 2"
十八層地獄,Ncb,0,n,5
十六分音符,Nab,0,n,5
十分寮,Nca,0,ns,3
十字軍東征,Nba,0,nr,5
千錘百鍊,VH11,4,i,4
升天,VA13,1,v,2
午砲,Nab,0,n,2
半政府,A,1,n,3
半波整流器,Nab,0,n,5
半睡眠狀態,Nad,0,n,5
卑濕,VH11,0,i,2
南台,Nca,0,ns,2
南台工專,Nca,0,ns,4
南回歸線,Nac,0,n,4
南庄,Nca,4,ns,4
南榮,Nba,0,nr,2
南無阿彌陀佛,VH11,0,i,6
博達,VH11,0,i,2
卜卜,Dh,0,n,2
占,"VC31, VJ3","3, 237",v,240
占上風,VI2,1,v,3
占取,VC31,0,v,2
占地,VJ3,12,v,12
占據,VC31,17,v,17
占有,"Nv4, VJ3","0, 47",v,49
占用,VC31,12,v,12
占起,VC2,0,v,2
占領,VC31,14,v,14
卡啦,Dh,0,n,2
卡薩布蘭加,Nca,2,ns,5
印刷人,Nab,0,n,3
印地安納大學,Nca,0,ns,6
印地安納州,Nca,0,ns,5
印度大平原,Nca,0,ns,5
印証,VK2,3,v,3
卲,b,0,zg,1
卷尺,Nab,0,n,2
卷雲,Nab,0,n,2
卷髮,Naa,3,n,3
厂,b,0,zg,1
厘,Nfg,1,q,1
厘米,Nfg,12,q,12
原子能委員會,Nca,0,ns,6
原子說,Nad,0,n,3
厲階,Nad,0,n,2
去不得,VH11,1,i,3
去你的,I,1,e,3
去官,VA4,1,v,2
去就,Nad,0,n,2
去年度,Ndda,0,t,3
去殼,VB11,1,v,2
去污力,Nad,0,n,3
去火,VH11,0,i,2
去病,VH11,0,i,2
去聲,Nad,2,n,2
參將,Nab,0,n,2
及物,VH11,24,i,24
反唇相譏,VA4,2,v,4
反導向飛彈,Nab,0,n,5
反復,Dd,3,d,3
反映出,VK2,59,v,59
反時鐘方向,Nac,0,n,5
反複,Dd,4,d,4
反証,Nac,0,n,2
反革命份子,Nab,0,n,5
叔姪,Naeb,0,n,2
取出來,VB2,5,v,5
取舍,Nad,1,n,2
受欺侮,VH11,0,i,3
受雇,VI3,12,v,12
叢聚,VH14,0,v,2
叢脞,VH11,0,i,2
口到,Nad,0,n,2
古柯鹼,Naa,3,n,3
古跡,Nac,29,n,29
另日,Dd,0,d,2
只消,Cbaa,5,c,5
叫出來,VB2,3,v,3
叫號,"VA4, VE2","0, 2",v,4
叫起,VB11,0,v,2
叫起來,"Dbc, VB11","3, 4",v,7
叮當,Dh,0,n,2
可人,VH11,7,i,7
可就,Dbb,41,d,41
可歎,VE2,3,v,3
台,"!Ncb, Nca, Nfa","0, 720, 264","n, ns, q","1, 720, 264"
台上,Ncc,0,n,2
台下,Ncc,1,n,2
台中,Nca,320,ns,320
台中市,Nca,186,ns,186
台中盆地,Nca,0,ns,4
台中縣,Nca,56,ns,56
台北,Nca,2102,ns,2102
台北市,Nca,722,ns,722
台北縣,Nca,124,ns,124
台南,Nca,152,ns,152
台南市,Nca,37,ns,37
台南縣,Nca,41,ns,41
台商,Nab,139,n,139
台地,Nab,16,n,16
台基,Nab,2,n,2
台大,Nca,588,ns,588
台大醫院,Nca,0,ns,4
台子,Nab,4,n,4
台幣,Naeb,197,n,197
台式,A,1,n,2
台拉維夫,Nca,0,ns,4
台東,Nca,89,ns,89
台灣,Nca,6415,ns,6415
台灣人,Nab,216,n,216
台灣區,Ncb,28,n,28
台灣大學,Nca,0,ns,4
台灣海峽,Nab,0,n,4
台灣玉,Nab,0,n,3
台灣省,Nca,122,ns,122
台灣銀行,Nca,0,ns,4
台灣鋁業公司,Nca,0,ns,6
台灣電力公司,Nca,0,ns,6
台燈,Nab,0,n,2
台獨,Nad,72,n,72
台甫,Nhac,0,n,2
台省,Nca,8,ns,8
台端,Nhac,0,n,2
台糖公司,Nca,0,ns,4
台西,Nca,8,ns,8
台視,Nca,83,ns,83
台詞,Nac,19,n,19
台金,Nca,0,ns,2
台銀,Nca,19,ns,19
台銜,Nad,0,n,2
台鋁,Nca,0,ns,2
台鑒,VA4,0,v,2
台階,Nab,20,n,20
台電,Nca,147,ns,147
台風,Nad,0,n,2
台駕,Nab,0,n,2
史丹佛大學,Nca,0,ns,5
史跡,Nad,3,n,3
司令台,Nab,0,n,3
吁,I,0,e,1
吃上,VJ1,7,v,7
吃下,VC31,20,v,20
吃下去,VB2,18,v,18
吃不了,VJ1,5,v,5
吃去,VC31,0,v,2
吃完,VC31,117,v,117
吃茶,VA4,0,v,2
吃草,VA4,9,v,9
吃起來,Dbc,18,v,18
吃錢,VA4,0,v,2
各說各的,VA4,1,v,4
合伙,VA4,2,v,2
合作學,Nad,0,n,3
合作所,Ncb,0,n,3
合家,Nhab,2,n,2
合時,VH11,0,i,2
合起來,VB12,7,v,7
吉林,Nca,6,ns,6
吉羊,VH11,0,i,2
同素異性體,Nab,0,n,5
后,b,0,zg,1
后座,Nad,8,n,8
向地,VH11,0,i,2
向學,VH11,17,i,17
向日,Ndda,0,t,2
吞咽,VC31,0,v,2
吧女,Nab,0,n,2
听,b,0,zg,1
听取,VC31,0,v,2
听憑,VK2,0,v,2
听眾,Nab,0,n,2
听筒,Nab,0,n,2
听覺,Nad,0,n,2
听診,VA4,0,v,2
听話,VH11,0,i,2
听說,VE2,0,v,2
听講,VA4,0,v,2
吰,b,0,zg,1
吳王,Nba,8,nr,8
吳郡,Nca,1,ns,2
吳鳳,Nba,37,nr,37
吸引人,VH11,28,i,28
吸煙,VA4,22,v,22
吸煙客,Nab,0,n,3
吸煙者,Nab,0,n,3
